10,6,60,1
10,70,700,1
10,9,90,1
11,2,22,1
111,7,777,1
11,4,44,1
10,33,330,1
35,2,70,1
29,10,290,1
2,2,4,1
2,3,6,1
2,4,8,1
2,5,10,1
2,6,12,1
2,7,14,1
2,8,16,1
2,9,18,1
3,3,9,1
3,4,12,1
3,5,15,1
3,6,18,1
3,7,21,1
3,8,24,1
3,9,27,1
4,4,16,1
4,5,20,1
5,6,30,1
5,7,35,1
5,8,40,1
5,9,45,1
20,4,80,1
20,5,100,1
50,2,100,1
60,2,120,1
350,2,700,1
200,4,800,1
45,2,90,1
12,10,120,1
100,10,1000,1
3,30,90,1
2,25,50,1
150,2,300,1
4,50,200,1
80,2,160,1
22,2,44,1
13,2,26,1
24,2,48,1
14,2,28,1
31,2,62,1
42,2,84,1
201,6,1206,2
501,2,1002,2
6,4,24,2
4,7,28,2
4,8,32,2
6,8,48,2
6,9,54,2
7,7,49,2
7,8,56,2
7,9,63,2
8,6,48,2
8,7,56,2
8,8,64,2
8,9,72,2
9,6,54,2
9,7,63,2
9,8,72,2
9,9,81,2
22,5,110,2
205,4,820,2
205,5,1025,2
51,5,255,2
207,3,621,2
204,4,828,2
220,4,880,2
301,9,2709,2
905,2,1810,2
112,3,336,2
516,2,1032,2
604,5,3020,2
520,4,2080,2
801,3,2403,2
808,5,4040,2
134,2,268,2
1004,5,5020,2
803,3,2409,2
12,5,60,2
15,3,45,2
21,4,84,2
21,5,105,2
21,9,189,2
23,3,69,2
21,6,126,2
81,7,567,3
80,7,560,2
80,4,320,2
70,90,6300,2
70,60,4200,2
90,80,7200,2
6,70,420,2
23,4,92,3
22,7,154,3
22,8,176,3
22,9,198,3
16,4,64,3
16,5,80,3
17,2,34,3
17,3,51,3
17,4,68,3
51,9,459,3
52,3,156,3
63,5,315,3
64,3,192,3
310,4,1240,3
210,5,1050,3
130,8,1040,3
126,3,378,3
126,5,630,3
12,9,108,3
13,8,104,3
13,9,117,3
42,8,336,3
25,8,200,3
26,6,156,3
23,8,184,3
24,6,144,3
36,3,108,3
121,7,847,3
123,3,369,3
124,4,496,3
129,3,387,4
131,6,786,4
131,7,917,4
98,7,686,4
114,7,798,4
146,6,876,4
157,6,942,4
177,5,885,4
179,3,537,4
156,8,1248,4
162,7,1134,4
74,9,666,4
87,8,696,4
83,8,664,4
83,9,747,4
87,9,783,4
84,7,588,4
88,9,792,4
86,9,774,4
89,9,801,5
79,9,711,5
96,6,576,4
96,7,672,4
97,7,679,4
76,6,456,4
76,9,684,4
115,8,920,4
121,9,1089,4
124,6,744,4
131,8,1048,4
131,9,1179,4
143,7,1001,5
143,9,1287,5
144,8,1152,5
146,8,1168,5
146,9,1314,5
147,7,1029,5
147,9,1323,5
148,7,1036,5
148,8,1184,5
126,9,1134,5
149,7,1043,5
136,8,1088,5
132,8,1056,5
152,7,1064,5
135,8,1080,5
135,9,1215,5
136,6,816,5
116,9,1044,5
16,81,1296,5
17,17,289,5
15,86,1290,5
22,28,616,5
14,52,728,5
999,6,5994,4
777,6,4662,5  
123,9,1107,5
152,9,1368,5
166,7,1162,5
148,8,1184,5
174,7,1218,6
174,8,1392,6
169,6,1014,6
169,7,1183,6
169,9,1521,6
164,8,1312,6
167,6,1002,6
667,6,4002,6
668,6,4008,6
669,6,4014,6
267,8,2136,6
267,9,2403,6
175,7,1225,6
55,62,3410,6
53,42,2226,6
51,84,4284,6
76,21,1596,6
62,53,2288,6
42,45,1890,6
82,52,4264,6
764,8,6112,7
789,9,7101,7
858,7,6006,7
879,8,7032,7
58,49,2842,7
81,63,5103,7
84,29,2436,7
93,37,3441,7
67,63,4221,7
88,65,5720,7
76,89,6764,7    
69,88,6072,7
76,79,6004,7
